2026-04-11 10:52:15 | Args: {'train_csv': '/projectnb/medaihack/ABPET/data/train.csv', 'val_csv': '/projectnb/medaihack/ABPET/data/val.csv', 'epochs': 50, 'batch_size': 8, 'lr': 3e-05, 'num_workers': 4, 'checkpoint_dir': 'checkpoints', 'cache': False, 'loss': 'mae', 'patience': 7, 'log_dir': 'logs', 'results_dir': 'results'}
2026-04-11 10:52:15 | Device: cuda
2026-04-11 10:52:16 | Model parameters: 1,197,601
2026-04-11 10:53:00 | Epoch   1/50 | Loss: 31.4144 | MAE: 32.07 CL | r: 0.2020 | LR: 3.00e-05 | 42.1s *
2026-04-11 10:53:16 | Epoch   2/50 | Loss: 30.6215 | MAE: 31.26 CL | r: 0.2551 | LR: 3.00e-05 | 15.5s *
2026-04-11 10:53:31 | Epoch   3/50 | Loss: 30.0033 | MAE: 30.65 CL | r: 0.2771 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:53:47 | Epoch   4/50 | Loss: 29.4692 | MAE: 30.85 CL | r: 0.2618 | LR: 3.00e-05 | 15.5s
2026-04-11 10:54:03 | Epoch   5/50 | Loss: 29.0860 | MAE: 29.90 CL | r: 0.3247 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:54:18 | Epoch   6/50 | Loss: 28.7406 | MAE: 29.61 CL | r: 0.3611 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:54:34 | Epoch   7/50 | Loss: 28.5796 | MAE: 29.77 CL | r: 0.3603 | LR: 3.00e-05 | 15.6s
2026-04-11 10:54:49 | Epoch   8/50 | Loss: 28.5212 | MAE: 29.33 CL | r: 0.3485 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:55:05 | Epoch   9/50 | Loss: 28.3799 | MAE: 29.23 CL | r: 0.3869 | LR: 3.00e-05 | 15.7s *
2026-04-11 10:55:21 | Epoch  10/50 | Loss: 28.1804 | MAE: 28.99 CL | r: 0.3598 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:55:36 | Epoch  11/50 | Loss: 28.2241 | MAE: 29.84 CL | r: 0.3635 | LR: 3.00e-05 | 15.6s
2026-04-11 10:55:52 | Epoch  12/50 | Loss: 28.1160 | MAE: 29.68 CL | r: 0.3647 | LR: 3.00e-05 | 15.6s
2026-04-11 10:56:08 | Epoch  13/50 | Loss: 27.8995 | MAE: 28.77 CL | r: 0.4346 | LR: 3.00e-05 | 15.7s *
2026-04-11 10:56:23 | Epoch  14/50 | Loss: 27.9508 | MAE: 29.29 CL | r: 0.3967 | LR: 3.00e-05 | 15.6s
2026-04-11 10:56:39 | Epoch  15/50 | Loss: 27.7386 | MAE: 28.51 CL | r: 0.4589 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:56:55 | Epoch  16/50 | Loss: 27.5810 | MAE: 28.62 CL | r: 0.4477 | LR: 3.00e-05 | 15.7s
2026-04-11 10:57:10 | Epoch  17/50 | Loss: 27.4012 | MAE: 28.51 CL | r: 0.4046 | LR: 3.00e-05 | 15.6s
2026-04-11 10:57:26 | Epoch  18/50 | Loss: 27.1956 | MAE: 28.42 CL | r: 0.4975 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:57:41 | Epoch  19/50 | Loss: 27.1046 | MAE: 28.37 CL | r: 0.5308 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:57:57 | Epoch  20/50 | Loss: 27.1612 | MAE: 29.25 CL | r: 0.4743 | LR: 3.00e-05 | 15.6s
2026-04-11 10:58:13 | Epoch  21/50 | Loss: 26.8417 | MAE: 27.88 CL | r: 0.5533 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:58:28 | Epoch  22/50 | Loss: 26.8186 | MAE: 30.69 CL | r: 0.5474 | LR: 3.00e-05 | 15.6s
2026-04-11 10:58:44 | Epoch  23/50 | Loss: 26.5689 | MAE: 27.30 CL | r: 0.6102 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:58:59 | Epoch  24/50 | Loss: 26.4722 | MAE: 27.26 CL | r: 0.5574 | LR: 3.00e-05 | 15.6s *
2026-04-11 10:59:15 | Epoch  25/50 | Loss: 26.2618 | MAE: 28.16 CL | r: 0.5763 | LR: 3.00e-05 | 15.6s
2026-04-11 10:59:31 | Epoch  26/50 | Loss: 26.2910 | MAE: 29.31 CL | r: 0.5645 | LR: 3.00e-05 | 15.6s
2026-04-11 10:59:46 | Epoch  27/50 | Loss: 25.9816 | MAE: 28.85 CL | r: 0.4780 | LR: 3.00e-05 | 15.6s
2026-04-11 11:00:02 | Epoch  28/50 | Loss: 25.9247 | MAE: 26.64 CL | r: 0.6536 | LR: 3.00e-05 | 15.6s *
2026-04-11 11:00:17 | Epoch  29/50 | Loss: 25.7011 | MAE: 27.21 CL | r: 0.6179 | LR: 3.00e-05 | 15.5s
2026-04-11 11:00:33 | Epoch  30/50 | Loss: 25.7827 | MAE: 26.55 CL | r: 0.6905 | LR: 3.00e-05 | 15.5s *
2026-04-11 11:00:49 | Epoch  31/50 | Loss: 25.4227 | MAE: 27.46 CL | r: 0.6267 | LR: 3.00e-05 | 15.6s
2026-04-11 11:01:04 | Epoch  32/50 | Loss: 25.1879 | MAE: 26.15 CL | r: 0.6896 | LR: 3.00e-05 | 15.6s *
2026-04-11 11:01:20 | Epoch  33/50 | Loss: 24.8947 | MAE: 27.92 CL | r: 0.6513 | LR: 3.00e-05 | 15.7s
2026-04-11 11:01:35 | Epoch  34/50 | Loss: 24.9286 | MAE: 25.61 CL | r: 0.6988 | LR: 3.00e-05 | 15.6s *
2026-04-11 11:01:51 | Epoch  35/50 | Loss: 24.8677 | MAE: 26.62 CL | r: 0.6964 | LR: 3.00e-05 | 15.6s
2026-04-11 11:02:07 | Epoch  36/50 | Loss: 24.3275 | MAE: 25.59 CL | r: 0.6721 | LR: 3.00e-05 | 15.6s *
2026-04-11 11:02:22 | Epoch  37/50 | Loss: 24.2359 | MAE: 25.39 CL | r: 0.6706 | LR: 3.00e-05 | 15.6s *
2026-04-11 11:02:38 | Epoch  38/50 | Loss: 24.1948 | MAE: 31.60 CL | r: 0.7090 | LR: 3.00e-05 | 15.6s
2026-04-11 11:02:53 | Epoch  39/50 | Loss: 23.9880 | MAE: 39.64 CL | r: 0.6803 | LR: 3.00e-05 | 15.6s
2026-04-11 11:03:09 | Epoch  40/50 | Loss: 23.8343 | MAE: 26.86 CL | r: 0.7035 | LR: 3.00e-05 | 15.6s
