2026-04-11 14:09:59 | Args: {'train_csv': '/projectnb/medaihack/ABPET/data/train.csv', 'val_csv': '/projectnb/medaihack/ABPET/data/val.csv', 'epochs': 100, 'batch_size': 2, 'lr': 0.0001, 'num_workers': 4, 'resnet_depth': 18, 'embed_dim': 64, 'dropout': 0.5, 'checkpoint_dir': 'checkpoints', 'cache': False, 'loss': 'mae', 'patience': 15, 'max_grad_norm': 1.0, 'scheduler': 'plateau', 'lr_factor': 0.5, 'lr_patience': 2, 'lr_cooldown': 1, 'min_lr': 1e-06, 'compile': False, 'log_dir': 'logs', 'results_dir': 'results'}
2026-04-11 14:09:59 | Device: cuda
2026-04-11 14:10:00 | Model parameters: 33,324,993
2026-04-11 14:10:00 | ResNet depth: 18
2026-04-11 14:10:20 | Epoch   1/100 | Loss: 29.1126 | MAE: 29.74 CL | r: 0.1847 | LR: 1.00e-04 | 18.6s | ES patience: 0/15 [*]
2026-04-11 14:10:38 | Epoch   2/100 | Loss: 28.7077 | MAE: 29.13 CL | r: 0.2898 | LR: 1.00e-04 | 17.2s | ES patience: 0/15 [*]
2026-04-11 14:10:55 | Epoch   3/100 | Loss: 28.1458 | MAE: 29.14 CL | r: 0.4049 | LR: 1.00e-04 | 17.2s | ES patience: 1/15
2026-04-11 14:11:13 | Epoch   4/100 | Loss: 25.3364 | MAE: 22.78 CL | r: 0.7210 | LR: 1.00e-04 | 17.4s | ES patience: 0/15 [*]
2026-04-11 14:11:30 | Epoch   5/100 | Loss: 21.1023 | MAE: 19.14 CL | r: 0.7664 | LR: 1.00e-04 | 17.1s | ES patience: 0/15 [*]
2026-04-11 14:11:48 | Epoch   6/100 | Loss: 17.4977 | MAE: 16.63 CL | r: 0.8634 | LR: 1.00e-04 | 17.1s | ES patience: 0/15 [*]
2026-04-11 14:12:05 | Epoch   7/100 | Loss: 15.6530 | MAE: 16.43 CL | r: 0.8695 | LR: 1.00e-04 | 17.2s | ES patience: 0/15 [*]
2026-04-11 14:12:22 | Epoch   8/100 | Loss: 15.1380 | MAE: 13.80 CL | r: 0.8806 | LR: 1.00e-04 | 17.0s | ES patience: 0/15 [*]
2026-04-11 14:12:40 | Epoch   9/100 | Loss: 14.2443 | MAE: 13.33 CL | r: 0.8989 | LR: 1.00e-04 | 16.9s | ES patience: 0/15 [*]
2026-04-11 14:12:57 | Epoch  10/100 | Loss: 13.7673 | MAE: 12.64 CL | r: 0.8894 | LR: 1.00e-04 | 17.2s | ES patience: 0/15 [*]
2026-04-11 14:13:15 | Epoch  11/100 | Loss: 13.3697 | MAE: 15.89 CL | r: 0.9063 | LR: 1.00e-04 | 17.3s | ES patience: 1/15
2026-04-11 14:13:32 | Epoch  12/100 | Loss: 13.2944 | MAE: 11.47 CL | r: 0.9179 | LR: 1.00e-04 | 17.3s | ES patience: 0/15 [*]
2026-04-11 14:13:50 | Epoch  13/100 | Loss: 12.8560 | MAE: 12.97 CL | r: 0.9055 | LR: 1.00e-04 | 17.4s | ES patience: 1/15
2026-04-11 14:14:07 | Epoch  14/100 | Loss: 12.2041 | MAE: 11.99 CL | r: 0.9255 | LR: 1.00e-04 | 17.4s | ES patience: 2/15
2026-04-11 14:14:25 | Epoch  15/100 | Loss: 12.3129 | MAE: 14.22 CL | r: 0.8930 | LR: 5.00e-05 | 17.3s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 14:14:42 | Epoch  16/100 | Loss: 10.7944 | MAE: 11.48 CL | r: 0.9354 | LR: 5.00e-05 | 17.5s | ES patience: 1/15
2026-04-11 14:15:00 | Epoch  17/100 | Loss: 10.2451 | MAE: 10.97 CL | r: 0.9313 | LR: 5.00e-05 | 17.3s | ES patience: 0/15 [*]
2026-04-11 14:15:18 | Epoch  18/100 | Loss: 10.0109 | MAE: 10.60 CL | r: 0.9364 | LR: 5.00e-05 | 17.6s | ES patience: 0/15 [*]
2026-04-11 14:15:35 | Epoch  19/100 | Loss: 9.8461 | MAE: 11.52 CL | r: 0.9338 | LR: 5.00e-05 | 17.5s | ES patience: 1/15
2026-04-11 14:15:53 | Epoch  20/100 | Loss: 9.4098 | MAE: 10.25 CL | r: 0.9337 | LR: 5.00e-05 | 17.7s | ES patience: 0/15 [*]
2026-04-11 14:16:11 | Epoch  21/100 | Loss: 9.2955 | MAE: 10.68 CL | r: 0.9367 | LR: 5.00e-05 | 17.7s | ES patience: 1/15
2026-04-11 14:16:29 | Epoch  22/100 | Loss: 9.2512 | MAE: 9.97 CL | r: 0.9399 | LR: 5.00e-05 | 17.7s | ES patience: 0/15 [*]
2026-04-11 14:16:47 | Epoch  23/100 | Loss: 9.0785 | MAE: 10.48 CL | r: 0.9353 | LR: 5.00e-05 | 17.7s | ES patience: 1/15
2026-04-11 14:17:05 | Epoch  24/100 | Loss: 8.8635 | MAE: 10.00 CL | r: 0.9392 | LR: 5.00e-05 | 17.7s | ES patience: 2/15
2026-04-11 14:17:23 | Epoch  25/100 | Loss: 8.9139 | MAE: 9.85 CL | r: 0.9414 | LR: 5.00e-05 | 17.7s | ES patience: 0/15 [*]
2026-04-11 14:17:40 | Epoch  26/100 | Loss: 8.7152 | MAE: 10.41 CL | r: 0.9347 | LR: 5.00e-05 | 17.6s | ES patience: 1/15
2026-04-11 14:17:58 | Epoch  27/100 | Loss: 8.1624 | MAE: 10.01 CL | r: 0.9453 | LR: 5.00e-05 | 17.5s | ES patience: 2/15
2026-04-11 14:18:15 | Epoch  28/100 | Loss: 8.2122 | MAE: 10.03 CL | r: 0.9394 | LR: 2.50e-05 | 17.6s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 14:18:33 | Epoch  29/100 | Loss: 7.4908 | MAE: 10.01 CL | r: 0.9475 | LR: 2.50e-05 | 17.6s | ES patience: 1/15
2026-04-11 14:18:51 | Epoch  30/100 | Loss: 7.0768 | MAE: 9.46 CL | r: 0.9466 | LR: 2.50e-05 | 17.5s | ES patience: 0/15 [*]
2026-04-11 14:19:09 | Epoch  31/100 | Loss: 7.1212 | MAE: 9.39 CL | r: 0.9496 | LR: 2.50e-05 | 17.5s | ES patience: 0/15 [*]
2026-04-11 14:19:26 | Epoch  32/100 | Loss: 6.8146 | MAE: 9.74 CL | r: 0.9444 | LR: 2.50e-05 | 17.3s | ES patience: 1/15
2026-04-11 14:19:44 | Epoch  33/100 | Loss: 6.7107 | MAE: 9.34 CL | r: 0.9448 | LR: 2.50e-05 | 17.5s | ES patience: 0/15 [*]
2026-04-11 14:20:02 | Epoch  34/100 | Loss: 6.7571 | MAE: 9.32 CL | r: 0.9460 | LR: 2.50e-05 | 17.5s | ES patience: 0/15 [*]
2026-04-11 14:20:19 | Epoch  35/100 | Loss: 6.5858 | MAE: 9.84 CL | r: 0.9453 | LR: 2.50e-05 | 17.5s | ES patience: 1/15
2026-04-11 14:20:37 | Epoch  36/100 | Loss: 6.4244 | MAE: 9.47 CL | r: 0.9428 | LR: 2.50e-05 | 17.7s | ES patience: 2/15
2026-04-11 14:20:56 | Epoch  37/100 | Loss: 6.4821 | MAE: 9.18 CL | r: 0.9489 | LR: 2.50e-05 | 18.0s | ES patience: 0/15 [*]
2026-04-11 14:21:13 | Epoch  38/100 | Loss: 6.3423 | MAE: 9.90 CL | r: 0.9509 | LR: 2.50e-05 | 17.7s | ES patience: 1/15
2026-04-11 14:21:31 | Epoch  39/100 | Loss: 6.0577 | MAE: 9.80 CL | r: 0.9464 | LR: 2.50e-05 | 17.6s | ES patience: 2/15
2026-04-11 14:21:48 | Epoch  40/100 | Loss: 6.1542 | MAE: 9.77 CL | r: 0.9484 | LR: 1.25e-05 | 17.6s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 14:22:06 | Epoch  41/100 | Loss: 5.7757 | MAE: 9.04 CL | r: 0.9482 | LR: 1.25e-05 | 17.5s | ES patience: 0/15 [*]
2026-04-11 14:22:24 | Epoch  42/100 | Loss: 5.6403 | MAE: 9.37 CL | r: 0.9447 | LR: 1.25e-05 | 17.5s | ES patience: 1/15
2026-04-11 14:22:42 | Epoch  43/100 | Loss: 5.3483 | MAE: 9.60 CL | r: 0.9483 | LR: 1.25e-05 | 17.6s | ES patience: 2/15
2026-04-11 14:22:59 | Epoch  44/100 | Loss: 5.5013 | MAE: 9.20 CL | r: 0.9472 | LR: 6.25e-06 | 17.7s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 14:23:17 | Epoch  45/100 | Loss: 5.1809 | MAE: 9.25 CL | r: 0.9476 | LR: 6.25e-06 | 17.7s | ES patience: 1/15
2026-04-11 14:23:35 | Epoch  46/100 | Loss: 4.9685 | MAE: 9.14 CL | r: 0.9483 | LR: 6.25e-06 | 17.7s | ES patience: 2/15
