2026-04-11 15:45:18 | Args: {'train_csv': '/projectnb/medaihack/ABPET/data/train.csv', 'val_csv': '/projectnb/medaihack/ABPET/data/val.csv', 'epochs': 100, 'batch_size': 2, 'lr': 4e-05, 'num_workers': 4, 'resnet_depth': 18, 'embed_dim': 64, 'dropout': 0.5, 'checkpoint_dir': 'checkpoints', 'cache': False, 'loss': 'mae', 'patience': 15, 'max_grad_norm': 1.0, 'scheduler': 'plateau', 'lr_factor': 0.5, 'lr_patience': 2, 'lr_cooldown': 0, 'min_lr': 1e-08, 'compile': False, 'log_dir': 'logs', 'results_dir': 'results'}
2026-04-11 15:45:18 | Device: cuda
2026-04-11 15:45:19 | Model parameters: 33,433,409
2026-04-11 15:45:19 | ResNet depth: 18
2026-04-11 15:45:39 | Epoch   1/100 | Loss: 29.2924 | MAE: 30.00 CL | r: -0.0152 | LR: 4.00e-05 | 18.9s | ES patience: 0/15 [*]
2026-04-11 15:45:58 | Epoch   2/100 | Loss: 28.9547 | MAE: 29.91 CL | r: 0.1490 | LR: 4.00e-05 | 18.1s | ES patience: 0/15 [*]
2026-04-11 15:46:16 | Epoch   3/100 | Loss: 28.9213 | MAE: 29.59 CL | r: 0.1793 | LR: 4.00e-05 | 18.1s | ES patience: 0/15 [*]
2026-04-11 15:46:35 | Epoch   4/100 | Loss: 28.8396 | MAE: 29.45 CL | r: 0.2091 | LR: 4.00e-05 | 18.3s | ES patience: 0/15 [*]
2026-04-11 15:46:53 | Epoch   5/100 | Loss: 28.6865 | MAE: 28.76 CL | r: 0.3833 | LR: 4.00e-05 | 18.1s | ES patience: 0/15 [*]
2026-04-11 15:47:12 | Epoch   6/100 | Loss: 27.8183 | MAE: 28.69 CL | r: 0.4164 | LR: 4.00e-05 | 17.9s | ES patience: 0/15 [*]
2026-04-11 15:47:30 | Epoch   7/100 | Loss: 27.1731 | MAE: 26.75 CL | r: 0.7180 | LR: 4.00e-05 | 18.2s | ES patience: 0/15 [*]
2026-04-11 15:47:49 | Epoch   8/100 | Loss: 24.9458 | MAE: 24.29 CL | r: 0.7657 | LR: 4.00e-05 | 18.1s | ES patience: 0/15 [*]
2026-04-11 15:48:07 | Epoch   9/100 | Loss: 21.8945 | MAE: 21.02 CL | r: 0.8100 | LR: 4.00e-05 | 18.2s | ES patience: 0/15 [*]
2026-04-11 15:48:26 | Epoch  10/100 | Loss: 19.0611 | MAE: 19.28 CL | r: 0.8416 | LR: 4.00e-05 | 18.3s | ES patience: 0/15 [*]
2026-04-11 15:48:45 | Epoch  11/100 | Loss: 16.7214 | MAE: 16.59 CL | r: 0.8632 | LR: 4.00e-05 | 18.4s | ES patience: 0/15 [*]
2026-04-11 15:49:04 | Epoch  12/100 | Loss: 15.3198 | MAE: 15.10 CL | r: 0.8729 | LR: 4.00e-05 | 18.4s | ES patience: 0/15 [*]
2026-04-11 15:49:23 | Epoch  13/100 | Loss: 14.4626 | MAE: 14.00 CL | r: 0.8680 | LR: 4.00e-05 | 18.5s | ES patience: 0/15 [*]
2026-04-11 15:49:41 | Epoch  14/100 | Loss: 13.7607 | MAE: 12.92 CL | r: 0.8976 | LR: 4.00e-05 | 18.3s | ES patience: 0/15 [*]
2026-04-11 15:50:00 | Epoch  15/100 | Loss: 12.9753 | MAE: 12.38 CL | r: 0.9094 | LR: 4.00e-05 | 18.5s | ES patience: 0/15 [*]
2026-04-11 15:50:19 | Epoch  16/100 | Loss: 12.6253 | MAE: 12.98 CL | r: 0.9032 | LR: 4.00e-05 | 18.6s | ES patience: 1/15
2026-04-11 15:50:38 | Epoch  17/100 | Loss: 12.1744 | MAE: 12.25 CL | r: 0.9046 | LR: 4.00e-05 | 18.5s | ES patience: 0/15 [*]
2026-04-11 15:50:57 | Epoch  18/100 | Loss: 11.6693 | MAE: 11.76 CL | r: 0.9149 | LR: 4.00e-05 | 18.3s | ES patience: 0/15 [*]
2026-04-11 15:51:15 | Epoch  19/100 | Loss: 11.6106 | MAE: 12.00 CL | r: 0.9090 | LR: 4.00e-05 | 18.3s | ES patience: 1/15
2026-04-11 15:51:34 | Epoch  20/100 | Loss: 11.4708 | MAE: 10.84 CL | r: 0.9249 | LR: 4.00e-05 | 18.5s | ES patience: 0/15 [*]
2026-04-11 15:51:52 | Epoch  21/100 | Loss: 11.1375 | MAE: 12.68 CL | r: 0.9409 | LR: 4.00e-05 | 18.2s | ES patience: 1/15
2026-04-11 15:52:10 | Epoch  22/100 | Loss: 11.0195 | MAE: 12.76 CL | r: 0.9379 | LR: 4.00e-05 | 18.2s | ES patience: 2/15
2026-04-11 15:52:28 | Epoch  23/100 | Loss: 10.7910 | MAE: 11.69 CL | r: 0.9253 | LR: 2.00e-05 | 18.4s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 15:52:47 | Epoch  24/100 | Loss: 9.5558 | MAE: 10.22 CL | r: 0.9366 | LR: 2.00e-05 | 18.2s | ES patience: 0/15 [*]
2026-04-11 15:53:06 | Epoch  25/100 | Loss: 9.1860 | MAE: 9.91 CL | r: 0.9420 | LR: 2.00e-05 | 18.3s | ES patience: 0/15 [*]
2026-04-11 15:53:24 | Epoch  26/100 | Loss: 8.9789 | MAE: 9.53 CL | r: 0.9568 | LR: 2.00e-05 | 18.2s | ES patience: 0/15 [*]
2026-04-11 15:53:43 | Epoch  27/100 | Loss: 8.6429 | MAE: 9.69 CL | r: 0.9440 | LR: 2.00e-05 | 18.3s | ES patience: 1/15
2026-04-11 15:54:01 | Epoch  28/100 | Loss: 8.5102 | MAE: 9.60 CL | r: 0.9568 | LR: 2.00e-05 | 18.5s | ES patience: 2/15
2026-04-11 15:54:20 | Epoch  29/100 | Loss: 8.1687 | MAE: 9.55 CL | r: 0.9481 | LR: 1.00e-05 | 18.4s | ES patience: 0/15 [lr-reset lr↓]
2026-04-11 15:54:38 | Epoch  30/100 | Loss: 7.5557 | MAE: 8.78 CL | r: 0.9553 | LR: 1.00e-05 | 18.3s | ES patience: 0/15 [*]
2026-04-11 15:54:57 | Epoch  31/100 | Loss: 7.3673 | MAE: 8.74 CL | r: 0.9571 | LR: 1.00e-05 | 18.3s | ES patience: 0/15 [*]
2026-04-11 15:55:16 | Epoch  32/100 | Loss: 6.9536 | MAE: 8.68 CL | r: 0.9556 | LR: 1.00e-05 | 18.4s | ES patience: 0/15 [*]
2026-04-11 15:55:34 | Epoch  33/100 | Loss: 7.0751 | MAE: 8.71 CL | r: 0.9533 | LR: 1.00e-05 | 18.4s | ES patience: 1/15
2026-04-11 15:55:53 | Epoch  34/100 | Loss: 6.8068 | MAE: 8.97 CL | r: 0.9536 | LR: 1.00e-05 | 18.3s | ES patience: 2/15
