epoch,train_loss,val_mae,val_corr,lr,epoch_time_s,is_best
1,29.112584,29.7379,0.184681,1.00e-04,18.6,1
2,28.707748,29.1304,0.289821,1.00e-04,17.2,1
3,28.145826,29.1357,0.404856,1.00e-04,17.2,0
4,25.336433,22.7823,0.720963,1.00e-04,17.4,1
5,21.102305,19.1395,0.766365,1.00e-04,17.1,1
6,17.497721,16.6344,0.863420,1.00e-04,17.1,1
7,15.653022,16.4345,0.869502,1.00e-04,17.2,1
8,15.138029,13.7955,0.880614,1.00e-04,17.0,1
9,14.244338,13.3334,0.898931,1.00e-04,16.9,1
10,13.767283,12.6359,0.889413,1.00e-04,17.2,1
11,13.369667,15.8894,0.906264,1.00e-04,17.3,0
12,13.294433,11.4672,0.917943,1.00e-04,17.3,1
13,12.856011,12.9718,0.905461,1.00e-04,17.4,0
14,12.204122,11.9938,0.925520,1.00e-04,17.4,0
15,12.312918,14.2241,0.892968,5.00e-05,17.3,0
16,10.794413,11.4763,0.935354,5.00e-05,17.5,0
17,10.245055,10.9677,0.931318,5.00e-05,17.3,1
18,10.010917,10.5964,0.936372,5.00e-05,17.6,1
19,9.846096,11.5201,0.933812,5.00e-05,17.5,0
20,9.409805,10.2482,0.933731,5.00e-05,17.7,1
21,9.295482,10.6847,0.936668,5.00e-05,17.7,0
22,9.251206,9.9747,0.939929,5.00e-05,17.7,1
23,9.078541,10.4772,0.935265,5.00e-05,17.7,0
24,8.863496,9.9973,0.939245,5.00e-05,17.7,0
25,8.913909,9.8528,0.941371,5.00e-05,17.7,1
26,8.715180,10.4132,0.934708,5.00e-05,17.6,0
27,8.162412,10.0149,0.945255,5.00e-05,17.5,0
28,8.212233,10.0329,0.939448,2.50e-05,17.6,0
29,7.490823,10.0100,0.947501,2.50e-05,17.6,0
30,7.076805,9.4565,0.946643,2.50e-05,17.5,1
31,7.121172,9.3901,0.949607,2.50e-05,17.5,1
32,6.814558,9.7412,0.944388,2.50e-05,17.3,0
33,6.710744,9.3439,0.944835,2.50e-05,17.5,1
34,6.757096,9.3231,0.945981,2.50e-05,17.5,1
35,6.585821,9.8449,0.945322,2.50e-05,17.5,0
36,6.424351,9.4690,0.942784,2.50e-05,17.7,0
37,6.482115,9.1840,0.948924,2.50e-05,18.0,1
38,6.342301,9.8979,0.950871,2.50e-05,17.7,0
39,6.057731,9.7988,0.946448,2.50e-05,17.6,0
40,6.154233,9.7657,0.948425,1.25e-05,17.6,0
41,5.775708,9.0402,0.948204,1.25e-05,17.5,1
42,5.640293,9.3711,0.944747,1.25e-05,17.5,0
43,5.348267,9.5961,0.948318,1.25e-05,17.6,0
44,5.501274,9.1998,0.947162,6.25e-06,17.7,0
45,5.180916,9.2504,0.947633,6.25e-06,17.7,0
46,4.968466,9.1374,0.948338,6.25e-06,17.7,0
